k     ||Uk - u*||               ||Uk - u*||/||U0 - u*||   ||Uk - U(k-1)||          
1     2.0                       1.0                       0.8874893188476562       
38    2.0                       1.0                       0.006730763079645374     
75    2.0                       1.0                       0.0020709193820473426    
112   2.0                       1.0                       0.0009063683254205701    
149   2.0                       1.0                       0.0004392909369443643    
186   2.0                       1.0                       0.00021081038529155438   
223   2.0                       1.0                       0.0001045298105791237    
260   2.0                       1.0                       5.00263603295803e-05     
297   2.0                       1.0                       2.487205799658887e-05    
334   2.0                       1.0                       1.1899762348027698e-05   
371   2.0                       1.0                       5.91811272815379e-06     
408   2.0                       1.0                       2.831358345056767e-06    
445   2.0                       1.0                       1.408168888022976e-06    
482   2.0                       1.0                       6.736970662724051e-07    
519   2.0                       1.0                       3.350628330900385e-07    
556   2.0                       1.0                       1.6030090566054866e-07   
593   2.0                       1.0                       7.972559484814568e-08    
630   2.0                       1.0                       3.814235172150404e-08    
667   2.0                       1.0                       1.8970085141623017e-08   
704   2.0                       1.0                       9.075675849734566e-09    
